occ,loanamt,action,msa,suffolk,appinc,typur,unit,married,dep,emp,yjob,self,atotinc,cototinc,hexp,price,other,liq,rep,gdlin,lines,mortg,cons,pubrec,hrat,obrat,fixadj,term,apr,prop,inss,inson,gift,cosign,unver,review,netw,unem,min30,bd,mi,old,vr,sch,black,hispan,male,reject,approve,mortno,mortperf,mortlat1,mortlat2,chist,multi,loanprc,thick,white
1,40,1,1120,0,48,0,1,1,0,0,0,0,3103,307,538,197,0,34,1,1,14,1,1,0,16,16,1,360,197,2,0,0,0,0,0,1,155,10.60000038,0,0,1,1,0,0,0,0,1,0,1,1,0,0,0,1,0,0.203045681,0,1
1,70,1,1120,1,33,0,1,1,1,1,1,1,2800,0,688,78,0,10,1,1,0,2,1,0,24.5,37.09999847,1,360,118,1,1,0,0,0,0,1,89,3.200000048,1,1,0,0,1,1,1,0,1,0,1,0,1,0,0,1,0,0.897435904,0,0
1,168,1,1120,0,66,1,1,1,2,0,1,0,4006,1526,1733,210,0,66,2,1,2,2,1,0,31.29999924,32.20000076,0,360,210,2,0,0,0,0,0,2,83.09999847,3.200000048,0,1,1,1,0,1,0,0,1,0,1,0,1,0,0,1,0,0.800000012,0,1
2,114,1,1120,1,98,3,1,1,1,0,0,0,5438,2656,1378,170,0,36,1,1,13,1,1,0,20,26,0,360,163,1,0,0,0,0,0,1,514,10.60000038,0,0,1,1,0,1,0,0,1,0,1,1,0,0,0,1,0,0.670588255,0,1
1,349,2,1120,1,285,0,1,1,1,0,0,0,12841,10968,4575,387,0,57,2,1,39,1,2,0,21,27,0,360,433,2,0,0,0,0,0,3,598,3.900000095,0,0,1,1,1,1,0,0,1,0,1,1,0,0,0,1,0,0.901808798,0,1
1,185,1,1120,0,99,8,1,1,0,0,0,0,5600,2500,2011,196,0,24,0,1,24,2,1,0,24.79999924,37.20000076,0,360,201,2,0,0,0,0,0,999,22,3.200000048,0,1,1,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0.943877578,0,1
1,126,1,1120,0,55,8,1,1,1,0,1,0,3076,1500,1449,140,0,19,1,1,24,2,1,0,28.89999962,36,1,360,160,2,1,0,0,0,0,2,21,3.200000048,0,0,1,0,1,1,0,0,1,0,1,0,1,0,0,1,0,0.899999976,0,1
1,100,1,1120,1,666,0,1,1,0,0,1,1,7589,0,868,208,0,347,1,1,6,3,4,0,14,16,0,360,240,1,0,0,0,0,0,1,681,3.200000048,0,0,1,1,1,1,0,0,0,0,1,0,0,1,0,1,0,0.480769217,0,1
1,70,1,1120,1,47,0,1,1,2,0,0,0,3200,700,793.7000122,70,16.46800041,11.5,1,1,5,1,1,0,20,36,0,360,180,2,0,0,0,0,0,1,229.5899963,3.900000095,0,1,1,1,1,1,0,0,1,0,1,1,0,0,0,1,0,1,0,1
1,125,1,1120,0,59,9,1,1,0,0,1,1,3000,2000,1300,180,0,8,1,1,26,1,1,0,25.05999947,29.20000076,0,360,180,2,0,0,0,0,0,2,126,4.300000191,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0.694444418,0,1
1,130,1,1120,0,135,1,1,0,0,0,0,0,11283,0,1545,230,0,124,1,1,9,2,1,0,12,18,0,360,233,2,0,0,0,0,0,2,196,3.099999905,0,1,1,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0.565217376,0,1
1,109,1,1120,0,52,3,1,1,2,0,0,0,2500,1840,1194,115,0,13.60000038,1,1,1,2,1,0,27.5,27.89999962,0,360,115,2,1,0,0,0,0,3,60.08399963,3.200000048,0,0,1,1,0,1,0,0,1,0,1,0,1,0,0,1,0,0.947826087,0,1
1,200,1,1120,0,117,0,1,1,2,0,0,0,3073,8106,2037,250,0,83.5,3,1,26,1,5,0,18,34,0,360,250,2,0,0,0,0,0,3,110.4700012,3.200000048,0,1,1,1,0,1,1,0,1,0,1,1,0,0,0,0,0,0.800000012,1,0
1,114,3,1120,0,56,0,1,0,0,1,1,0,1853,2840,1021,120,0,14,4,1,14,2,1,0,25.55999947,38.40000153,1,360,120,2,1,1,0,0,0,1,-8,1.799999952,0,1,1,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0.949999988,1,1
1,17,1,1120,0,31,0,1,1,2,0,0,0,1299,1086,342,57,0,50,1,1,1,2,1,0,14,14,0,120,65,2,0,0,0,0,0,1,53,3.200000048,0,0,1,1,1,1,0,0,1,0,1,0,1,0,0,1,0,0.298245609,0,1
1,208,1,1120,0,82,0,1,1,2,1,1,0,5000,1800,1988,260,0,14,2,1,4,1,1,0,26.20000076,34.79999924,1,360,260,2,0,0,0,0,0,3,175,3.099999905,0,0,1,1,0,1,0,1,1,0,1,1,0,0,0,1,0,0.800000012,0,0
1,125,1,1120,0,64,0,1,0,0,0,0,0,4950,0,1342,225,0,219,0,1,9,1,1,0,27.10000038,28.70000076,0,360,225,2,0,0,0,0,0,999,690,2,0,0,1,1,0,1,0,0,1,0,1,1,0,0,0,1,0,0.555555582,0,1
1,187,1,1120,0,177,0,1,1,0,1,1,1,13000,1733,1927,234,0,48,2,1,3,1,1,0,17.89999962,40.40000153,1,360,234,2,0,0,1,0,0,3,43,3.200000048,0,0,1,0,0,1,0,0,1,0,1,1,0,0,0,1,0,0.799145281,0,1
1,100,1,1120,0,44,0,1,0,1,0,0,0,3596,0,2548,100,0,20,1,1,4,1,1,0,71,73,0,240,165,2,0,0,0,0,0,1,23.1590004,3.900000095,0,1,1,1,1,0,0,0,1,0,1,1,0,0,0,1,0,1,0,1
1,100,1,1120,0,59,8,1,1,2,0,0,0,2340,2546,1116,125,25,3,1,1,14,2,1,0,20.79999924,27.89999962,1,360,133,2,0,0,1,0,0,1,27,5.300000191,0,0,1,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0.800000012,0,1
1,76,3,1120,0,42,0,1,0,0,0,1,0,3510,0,783,80,0,8,0,0,6,2,6,0,22.29999924,38.20000076,1,360,80,2,0,0,0,0,0,999,22,3.200000048,0,1,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0.949999988,0,0
1,121,1,1120,0,666,1,1,0,0,0,0,0,4706,0,1049,161,0,46,1,1,15,2,1,0,27,27,0,360,161,1,0,0,1,0,0,1,95,3.900000095,1,1,0,1,0,1,1,0,0,0,1,0,1,0,0,1,0,0.75155282,0,0
1,133,3,1120,0,666,0,1,1,0,0,0,0,4887,0,1256,118,0,63,1,1,4,2,1,0,26,35,0,360,118,2,1,0,0,0,0,2,106,3.200000048,,1,1,0,0,0,0,0,1,1,0,0,1,0,0,1,0,1.127118587,0,1
1,140,1,1120,0,63,5,1,0,0,0,0,0,5233,0,1407,200,0,123,1,1,5,2,1,0,26,33,0,360,200,2,0,0,0,0,0,999,-85,3.900000095,0,1,1,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0.699999988,0,1
1,70,1,1120,0,31,0,1,0,0,0,1,0,2567,0,644,77,0,11,1,1,10,2,1,0,30,35,0,360,78,1,0,0,0,0,0,1,34,4.300000191,,1,1,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0.909090936,0,1
1,115,1,1120,0,73,3,1,1,0,0,1,0,2600,3500,1070,128,0,23,3,1,18,2,1,0,20.18000031,32.09999847,0,999999.375,128,2,0,0,1,0,0,2,52,3.599999905,,1,1,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0.8984375,1,1
1,252,1,1120,0,106,9,1,1,1,0,0,1,5167,3650,2500,315,0,29,4,1,36,1,2,0,31,35,0,180,315,2,0,0,1,0,0,5,208,3.599999905,0,1,1,1,1,1,0,0,1,0,1,1,0,0,0,1,0,0.800000012,1,1
1,104,3,1120,0,92,0,1,1,0,6,6,0,7660,0,1081,130,0,1,1,0,19,2,6,0,14,16,0,360,130,1,0,0,0,1,0,2,38,3.599999905,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0.800000012,0,1
1,100,1,1120,0,53,0,1,1,0,0,0,0,3328,1083,1216,270,0,17,1,1,6,1,1,0,29,30,0,360,270,2,0,0,0,0,0,1,195,3.200000048,0,0,1,1,0,1,0,0,1,0,1,1,0,0,0,1,0,0.370370358,0,1
1,100,1,1120,0,123,0,1,1,0,0,0,0,6333,4755,1909,125,0,26,0,1,33,2,6,0,17.21999931,27.5,0,60,140,2,0,0,0,0,0,999,25,3.200000048,,0,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0.800000012,0,1
1,315,1,1120,0,139,0,1,1,1,0,0,0,5955,5625,3086,355,0,42.90000153,1,1,20,1,1,0,26.70000076,32.40000153,1,360,355,2,1,0,0,0,0,999,66.69999695,3.200000048,0,0,1,1,0,1,0,0,1,0,1,1,0,0,0,1,0,0.887323916,0,1
1,116,3,1120,1,62,0,1,1,0,0,0,0,2600,1911,1217,145,0,1,2,0,2,2,4,0,27,34,0,360,142,2,0,0,0,0,0,0,36,3.200000048,1,1,1,1,1,0,1,0,1,1,0,0,1,0,0,1,0,0.800000012,0,0
1,632,1,1120,0,351,0,1,1,0,0,0,0,24166,5100,5535,790,0,183,1,1,32,1,1,0,18.90999985,26.70000076,1,360,790,2,0,0,0,0,0,3,1427,3.200000048,0,0,1,1,0,1,0,0,1,0,1,1,0,0,0,1,0,0.800000012,0,1
1,112,1,1120,0,60,8,1,0,0,0,0,1,5000,0,1205,140,0,49,1,1,21,2,2,0,22,31,1,360,140,2,0,0,0,0,0,1,256,10.60000038,0,0,1,0,1,1,0,0,1,0,1,0,1,0,0,1,0,0.800000012,0,1
1,112,3,1120,0,68,0,1,1,2,0,1,0,3365,1917,1205,118,0,9,1,0,22,3,6,0,23,30,0,360,118,2,1,0,0,0,1,2,291,5.300000191,,1,1,0,1,0,0,1,1,1,0,0,0,1,0,0,0,0.949152529,0,0
1,78,1,1120,0,39,0,1,0,0,0,0,0,3276,0,906,115,0,31,0,1,5,2,6,0,27.70000076,38.20000076,1,360,97,1,0,0,0,0,0,999,104,3.900000095,0,0,1,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0.678260863,0,0
1,151,2,1120,1,74,0,2,1,1,0,0,0,3717,2925,1546,158,0,14,1,1,25,2,5,0,23,35,0,360,159,3,1,0,1,0,0,1,10,3.200000048,1,1,0,1,1,1,1,0,1,0,1,0,1,0,0,0,1,0.955696225,0,0
1,115,1,1120,0,57,8,1,1,0,0,0,1,3900,840,1407,150,0,6,2,1,39,1,2,0,26,34,0,360,154,2,0,0,0,0,0,1,86,10.60000038,0,0,1,1,0,0,0,0,1,0,1,1,0,0,0,1,0,0.766666651,0,1
1,152,1,1120,1,72,0,2,1,0,0,0,1,2165,3422,1511,140,0,47,1,1,15,2,1,0,27,38,0,360,190,3,0,0,1,0,0,5,55,10.60000038,0,1,0,0,1,0,0,0,1,0,1,0,1,0,0,1,1,1.08571434,0,1
1,59,1,1120,1,27,3,1,0,1,0,0,0,2226,0,816,66,0,11,1,1,8,2,2,0,35,38,0,360,72,1,0,0,0,0,0,2,14,2,1,1,0,1,1,0,0,1,0,0,1,0,1,0,0,1,0,0.893939376,0,0
2,147,3,1120,0,54,0,1,1,2,0,1,0,3881,0,1306,165,0,34,2,0,0,2,5,0,34,34,0,360,165,2,0,0,0,0,0,0,64,3.900000095,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0.890909076,0,1
1,80,1,1120,0,44,0,1,0,0,0,1,0,3685,0,903,101,0,34,0,1,8,2,1,0,25,25,1,360,101,1,0,0,1,0,0,999,65,3.200000048,0,0,1,0,0,1,0,1,1,0,1,0,1,0,0,1,0,0.79207921,0,0
1,130,1,1120,0,55,3,1,1,0,0,1,0,2824,1750,1317,144,0,26,1,1,8,2,1,0,28,34,0,360,145,2,1,0,0,0,0,3,42,3.099999905,0,1,1,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0.902777791,0,1
1,280,1,1120,0,157,0,1,1,2,0,0,0,13633,0,3122,350,0,129.3000031,1,1,11,1,2,0,22,24,0,240,362,2,0,0,0,0,0,4,337.8999939,3.599999905,0,0,1,0,0,1,0,0,1,0,1,1,0,0,0,1,0,0.800000012,0,1
1,175,1,1120,0,108,0,1,1,0,0,0,1,5000,4000,1799,345,0,228,1,1,6,4,3,0,19.97999954,35.5,1,360,349,2,0,0,0,0,0,999,369,3.599999905,0,1,1,1,0,1,0,0,1,0,1,0,0,0,1,1,0,0.507246375,0,1
1,187,1,1120,0,103,0,1,1,1,0,1,0,4042,4542,2008,330,0,44.02000046,1,1,15,1,1,0,23,24,0,360,330,2,0,0,0,0,0,3,167.8800049,5.300000191,0,0,1,0,0,1,0,0,1,0,1,1,0,0,0,1,0,0.566666663,0,1
1,310,1,1120,0,119,0,1,1,2,0,0,0,13567,0,3170,457,0,154,0,1,7,1,1,0,22.60000038,23.5,1,360,456,2,0,0,0,0,0,999,193,3.200000048,0,0,1,1,0,1,0,0,1,0,1,1,0,0,0,1,0,0.678336978,0,1
1,345,1,1120,1,275,8,1,1,1,0,0,0,12579,10342,4279,388,0,83,1,1,33,1,1,0,19,23,0,180,388,2,1,0,0,0,0,2,600,3.200000048,0,0,1,1,1,1,0,0,0,0,1,1,0,0,0,1,0,0.889175236,0,1
1,90,1,1120,0,40,1,1,0,0,0,0,1,3333,0,797,145,0,94,1,1,10,2,1,0,28,28,1,360,148,2,0,0,0,0,0,2,113,3.200000048,0,1,1,1,0,1,0,0,1,0,1,0,1,0,0,1,0,0.620689631,0,1
1,115,1,1120,0,52,3,1,0,0,0,0,0,4333,0,1213,165,0,207,1,1,6,2,1,0,28,29,0,360,165,2,0,0,0,0,0,999,235,4.300000191,0,0,1,0,1,1,0,0,1,0,1,0,1,0,0,1,0,0.696969688,0,1
1,191,1,1120,0,115,0,1,1,0,0,0,1,9560,0,2924,410,0,76,1,1,27,1,6,0,30,37,0,360,418,2,0,0,1,0,0,1,261,3.099999905,0,0,1,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0.465853661,0,1
1,123,3,1120,0,61,0,1,0,0,0,0,0,2400,2400,1466,136,0,5,1,1,24,2,2,1,30,42,1,360,136,1,0,0,0,0,0,0,62,3.900000095,0,0,1,1,1,0,0,0,1,1,0,0,1,0,0,1,0,0.904411793,0,1
1,122,1,1120,0,61,3,1,1,0,0,0,0,2799,2253,1300,138,0,25,4,1,20,2,2,0,27,40,0,360,139,2,0,0,0,0,0,2,52,2,0,1,1,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0.884057999,1,1
1,68,1,1120,0,35,0,1,0,0,0,0,0,2887,0,742,135,0,144,0,1,5,2,1,0,25,25,0,360,135,2,0,0,0,0,0,999,188,4.300000191,0,0,1,0,1,1,0,0,1,0,1,0,1,0,0,1,0,0.503703713,0,1
1,128,1,1120,0,72,0,1,1,2,0,0,0,2202,3683,1076,160,0,62,1,0,17,3,6,1,19,22,0,360,162,2,0,0,0,0,0,2,407,2,0,1,1,0,0,1,0,1,1,0,1,0,0,1,0,0,0,0.800000012,0,0
1,134,1,1120,0,57,1,1,0,0,0,0,0,2773,1907,1361,154,0,32,2,1,12,2,1,0,31,36,0,360,154,2,1,0,0,0,0,1,65,10.60000038,0,1,1,0,1,1,0,0,1,0,1,0,1,0,0,1,0,0.870129883,0,1
1,72,1,1120,0,35,1,1,1,2,0,1,0,2925,0,796,96,0,1,1,1,5,1,1,0,27,28,0,360,99,1,0,0,0,0,0,1,114,3.900000095,,1,1,1,1,0,0,0,0,0,1,1,0,0,0,1,0,0.75,0,1
1,110,1,1120,0,63,1,1,1,2,0,0,0,4226,1040,1107,141,0,13.10000038,1,1,8,2,5,0,21,21.89999962,0,360,148,2,0,0,0,0,0,2,45.32600021,8.899999619,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0.78014183,0,1
1,138,1,1120,0,71,0,1,1,0,0,0,0,2988,2900,1491,153,0,20.72999954,0,1,6,2,1,0,25.29999924,29.39999962,0,360,153,2,1,0,1,0,0,1,20.19799995,3.200000048,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0.90196079,0,1
1,248,1,1120,0,95,0,1,1,2,0,0,0,5399,2583,2354,295,15,57,4,1,16,2,1,0,27.73999977,39.70000076,1,360,282,1,0,0,0,0,0,3,270,3.200000048,0,0,1,1,0,1,0,1,1,0,1,0,1,0,0,1,0,0.840677977,1,0
1,99,1,1120,0,64,1,1,1,0,0,0,0,4194,1057,1046,110,0,23.39999962,2,1,6,2,5,0,19.89999962,29.79999924,0,360,122,2,1,0,0,0,0,3,139.5,10.60000038,0,0,1,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0.899999976,0,1
1,187,1,1120,0,84,1,1,1,1,0,0,0,5850,1167,1954,268,0,149,0,1,5,2,1,0,27.89999962,35.70000076,0,360,268,2,0,0,0,0,0,999,222,4.300000191,0,0,1,1,0,1,0,0,1,0,1,0,1,0,0,1,0,0.697761178,0,1
1,90,1,1120,0,27,1,1,0,0,0,0,0,3091,0,973,145,0,72,1,1,1,2,1,0,31.51000023,31.5,0,360,145,2,0,0,0,0,0,3,96.5,3.099999905,0,0,1,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0.620689631,0,1
2,130,1,1120,0,27,0,2,0,0,1,1,0,3125,583,1362,155,0,25,2,1,9,2,1,0,37,45,1,300,175,3,0,0,0,0,0,2,33,1.799999952,0,0,1,0,0,1,0,0,1,0,1,0,1,0,0,1,1,0.838709652,0,1
1,2,1,1120,0,35,0,1,0,0,0,0,0,2963,0,876,95,2,21,2,1,8,2,1,0,28,33,0,360,100,1,0,0,0,0,0,2,32,3.900000095,0,1,1,0,1,1,0,0,1,0,1,0,1,0,0,1,0,0.021052632,0,1
1,132,1,1120,0,59,1,1,0,1,0,0,0,4020,916,1464,149,0,23,1,1,5,2,1,0,28,34,0,360,152,2,1,0,1,0,0,2,46,3.200000048,0,0,1,1,0,1,1,0,0,0,1,0,1,0,0,1,0,0.885906041,0,0
1,162,1,1120,1,53,1,2,1,1,0,0,0,2185,1516,842,170,0,19,1,1,1,2,1,0,21.89999962,38.90000153,0,360,170,3,1,0,0,0,0,3,39.48600006,3.200000048,0,1,0,0,0,1,1,0,1,0,1,0,1,0,0,1,1,0.952941179,0,0
1,40,3,1120,0,50,0,1,0,4,0,0,0,4166,0,429,50,0,17,3,0,18,3,3,1,13,47,0,180,50,2,0,0,0,0,0,2,102,3.099999905,0,0,1,1,1,1,0,0,1,1,0,0,0,1,0,1,0,0.800000012,1,1
1,150,1,1120,0,66,0,1,1,0,0,1,0,3000,2500,1654,167,0,38,4,1,24,2,1,0,32,42,0,180,167,2,0,0,1,0,0,2,61,3.099999905,0,1,1,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0.898203611,1,1
1,94,1,1120,0,43,0,1,0,0,0,0,0,2374,1213,1075,99,0,8,2,1,12,2,2,0,28,36,0,360,99,2,1,0,1,0,0,1,23,5.300000191,,0,1,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0.949494958,0,1
1,35,3,1120,0,17,0,1,0,0,0,0,0,1442,0,423,35,0,1000000,2,1,3,2,1,0,29,75,1,360,78,2,0,0,0,0,0,1,87.98600006,8.899999619,0,1,1,1,0,0,0,0,1,1,0,0,1,0,0,1,0,1,0,1
1,120,1,1120,0,70,9,1,0,2,0,0,0,3750,2083,1193,150,0,38,1,1,6,2,1,0,20,25,0,360,152,2,0,0,0,0,0,1,55,3.200000048,0,1,0,1,1,1,1,0,0,0,1,0,1,0,0,1,0,0.800000012,0,0
1,50,1,1120,0,42,0,1,1,0,6,6,0,3517,0,693,165,0,80.5,1,1,14,2,2,0,19,21,0,360,167.5,2,0,0,0,0,0,4,214.3000031,3.599999905,0,1,1,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0.303030312,0,1
1,180,1,1120,0,157,3,1,0,0,0,0,0,4442,8679,1987,225,0,72,0,1,20,1,2,0,15,28,0,300,226,2,0,0,0,0,0,999,318,3.900000095,0,1,1,0,0,1,0,0,1,0,1,1,0,0,0,1,0,0.800000012,0,1
1,732,1,1120,0,288,5,1,1,1,0,0,0,23917,0,6782,975,0,1213,1,1,21,1,1,0,32,34,1,360,850,2,0,0,0,0,0,0,1550,3.200000048,0,0,1,0,0,1,1,0,1,0,1,1,0,0,0,1,0,0.750769258,0,0
1,201,2,1120,0,120,0,1,1,1,0,1,0,4166,3369,1901,223,0,27,2,1,16,1,2,0,25,34,1,360,233,2,0,0,0,0,0,1,46,3.099999905,0,1,0,0,1,1,0,0,1,0,1,1,0,0,0,1,0,0.901345313,0,1
1,183,1,1120,0,100,1,1,1,0,0,0,0,3734,4581,1587,192,0,23,2,1,42,2,5,0,22,32,0,360,205,2,1,0,0,0,0,1,49,3.200000048,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0.953125,0,1
1,170,1,1120,0,71,0,1,1,1,0,1,0,3500,2375,1661,231,0,101,1,1,20,2,3,0,28,36,1,360,231,2,0,0,0,0,0,1,120,3.099999905,0,1,1,1,0,1,0,0,1,0,1,0,1,0,0,1,0,0.735930741,0,1
1,166,3,1120,0,146,0,1,1,2,0,0,1,12173,0,1715,208,0,55,2,0,1,2,4,0,16,39,0,360,208,2,0,0,0,0,0,2,671,1.799999952,0,0,1,0,1,1,0,0,1,1,0,0,1,0,0,1,0,0.798076928,0,1
1,74,3,1120,0,38,0,1,0,0,0,1,0,3167,0,885,81,0,15,1,1,15,2,1,0,28,42,0,360,82,1,1,1,0,0,0,0,30,3.200000048,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0.913580239,0,1
1,124,3,1120,0,56,0,1,0,0,0,1,0,4666,0,1293,162,0,43,1,1,5,2,1,0,28,39,0,360,165,1,0,0,0,0,0,1,49,3.200000048,0,1,1,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0.765432119,0,0
1,106,2,1120,0,56,0,1,0,1,1,1,1,4692,0,1128,132,0,33.61000061,1,1,23,2,1,0,24,31,0,360,132,2,0,0,0,0,0,2,23.08600044,10.60000038,,1,1,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0.803030312,0,1
1,114,1,1120,0,70,3,1,1,0,0,0,0,3500,1667,1043,131,0,35,2,1,8,2,1,0,20.71999931,23.10000038,1,360,136,2,1,0,0,0,0,1,31,3.900000095,0,0,1,1,0,1,1,0,1,0,1,0,1,0,0,1,0,0.870229006,0,0
1,131,1,1120,0,68,0,1,0,1,0,0,0,5667,0,1666,145,0,38,2,1,8,2,2,0,29,38,0,360,155,1,0,0,0,0,0,2,47,3.200000048,0,0,1,1,1,1,0,0,1,0,1,0,1,0,0,1,0,0.903448284,0,1
1,320,3,1120,0,0,0,1,0,3,0,1,0,12500,3000,3600,630,0,421.2000122,2,1,39,1,3,1,23,50,0,360,630,2,0,0,0,0,0,1,1051.199951,3.200000048,0,0,1,1,0,1,0,0,1,1,0,1,0,0,0,1,0,0.507936537,0,1
1,192,1,1120,0,105,0,1,1,2,0,1,0,8750,0,1476,225,0,17,0,1,12,1,1,0,17,22,1,360,250,2,0,0,0,0,0,1,151,3.900000095,0,0,1,0,0,1,0,1,0,0,1,1,0,0,0,1,0,0.853333354,0,0
1,101,1,1120,0,52,1,1,0,0,1,1,0,2493,1906,1308,107,0,17.68000031,2,1,17,2,1,0,27.67000008,35.29999924,0,360,120,1,1,0,0,0,0,1,29.98800087,3.099999905,0,0,1,0,1,1,0,0,1,0,1,0,1,0,0,1,0,0.943925261,0,1
1,68,1,1120,0,36,0,1,0,0,0,0,0,3045,0,798.7000122,85,0,24,1,1,9,2,2,0,26.20000076,36.5,0,360,110,1,0,0,1,0,0,2,47,3.900000095,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0.800000012,0,1
